Occupation,Total Employees,Hourly Mean,Annual Mean,Hourly Median,Annual Median
Architectural and Engineering Managers,"187,100",76.43,"158,970",73.25,"152,350"
Food Service Managers,"210,680",30.75,"63,970",28.58,"59,440"
Entertainment and Recreation Managers,"21,460",36.75,"76,430",30.42,"63,270"
Gambling Managers,"3,660",42.88,"89,190",36.98,"76,910"
"Entertainment and Recreation Managers, Except Gambling","17,800",35.48,"73,810",29.81,"62,000"
Lodging Managers,"35,920",32.58,"67,770",28.57,"59,430"
Medical and Health Services Managers,"436,770",57.61,"119,840",48.72,"101,340"
Natural Sciences Managers,"74,760",75.05,"156,110",66.30,"137,900"
Postmasters and Mail Superintendents,"12,750",39.34,"81,820",38.58,"80,250"
"Property, Real Estate, and Community Association Managers","234,680",33.67,"70,030",28.47,"59,230"
Social and Community Service Managers,"156,400",36.92,"76,790",35.58,"74,000"
Emergency Management Directors,"10,320",40.77,"84,800",36.89,"76,730"
Personal Service Managers,"20,060",35.75,"74,360",29.02,"60,360"
Funeral Home Managers,"12,710",39.86,"82,900",35.58,"74,000"
"Personal Service Managers, All Other","7,350",28.65,"59,580",29.02,"60,360"
Miscellaneous Managers,"497,890",62.36,"129,710",59.93,"124,650"
"Managers, All Other","497,890",62.36,"129,710",59.93,"124,650"
Business and Financial Operations Occupations,"9,053,790",39.72,"82,610",36.81,"76,570"
Business Operations Specialists,"6,152,960",38.64,"80,380",36.56,"76,040"
"Agents and Business Managers of Artists, Performers, and Athletes","12,480",55.97,"116,410",37.70,"78,410"
Buyers and Purchasing Agents,"439,020",34.88,"72,540",30.51,"63,470"
"Claims Adjusters, Appraisers, Examiners, and Investigators","289,580",34.06,"70,850",31.11,"64,710"
"Claims Adjusters, Examiners, and Investigators","278,140",34.11,"70,960",31.29,"65,080"
"Insurance Appraisers, Auto Damage","11,430",32.78,"68,180",30.13,"62,680"
Compliance Officers,"334,340",36.45,"75,810",34.45,"71,650"
Cost Estimators,"208,950",35.45,"73,740",31.33,"65,170"
Human Resources Workers,"805,080",34.24,"71,210",30.04,"62,490"
Human Resources Specialists,"740,830",34.00,"70,720",29.95,"62,290"
Farm Labor Contractors,440,26.16,"54,400",22.97,"47,770"
Labor Relations Specialists,"63,810",37.05,"77,070",37.03,"77,010"
Logisticians and Project Management Specialists,"933,180",45.45,"94,530",39.43,"82,010"
Logisticians,"189,320",38.09,"79,230",37.03,"77,030"
Project Management Specialists,"743,860",47.32,"98,420",45.43,"94,500"
Management Analysts,"768,450",48.33,"100,530",44.71,"93,000"
"Meeting, Convention, and Event Planners","98,150",27.81,"57,850",23.79,"49,470"
Fundraisers,"82,080",31.19,"64,870",29.17,"60,660"
"Compensation, Benefits, and Job Analysis Specialists","87,750",35.49,"73,810",30.83,"64,120"
Training and Development Specialists,"336,030",32.51,"67,620",29.60,"61,570"
Market Research Analysts and Marketing Specialists,"727,540",36.58,"76,080",30.73,"63,920"
Miscellaneous Business Operations Specialists,"1,030,330",38.10,"79,240",35.90,"74,670"
"Business Operations Specialists, All Other","1,030,330",38.10,"79,240",35.90,"74,670"
Financial Specialists,"2,900,840",41.99,"87,350",37.16,"77,300"
Accountants and Auditors,"1,318,550",40.37,"83,980",37.14,"77,250"
Property Appraisers and Assessors,"58,340",33.68,"70,050",29.49,"61,340"
Budget Analysts,"47,440",40.50,"84,240",38.43,"79,940"
Credit Analysts,"68,770",42.32,"88,030",37.23,"77,440"
Financial Analysts and Advisors,"716,930",51.13,"106,340",39.29,"81,730"
Financial and Investment Analysts,"291,880",49.53,"103,020",44.03,"91,580"
Personal Financial Advisors,"263,030",57.67,"119,960",45.27,"94,170"
Insurance Underwriters,"107,690",38.43,"79,940",36.73,"76,390"
Financial Risk Specialists,"54,320",53.18,"110,610",48.08,"100,000"
Financial Examiners,"60,750",46.24,"96,180",39.14,"81,410"
Credit Counselors and Loan Officers,"371,400",37.52,"78,040",29.82,"62,030"
Credit Counselors,"31,230",24.25,"50,430",22.87,"47,580"
Loan Officers,"340,170",38.74,"80,570",30.47,"63,380"
"Tax Examiners, Collectors and Preparers, and Revenue Agents","135,460",26.80,"55,750",23.51,"48,900"
"Tax Examiners and Collectors, and Revenue Agents","52,270",30.38,"63,200",27.30,"56,780"
Tax Preparers,"83,190",24.56,"51,080",22.26,"46,290"
Miscellaneous Financial Specialists,"123,200",38.64,"80,370",35.21,"73,240"
"Financial Specialists, All Other","123,200",38.64,"80,370",35.21,"73,240"
Computer and Mathematical Occupations,"4,654,750",48.01,"99,860",46.90,"97,540"
Computer Occupations,"4,389,910",47.89,"99,620",46.84,"97,430"
Computer and Information Analysts,"662,370",50.40,"104,840",47.92,"99,680"
Computer Systems Analysts,"505,150",49.14,"102,210",47.73,"99,270"
Information Security Analysts,"157,220",54.46,"113,270",49.33,"102,600"
Computer and Information Research Scientists,"30,840",68.58,"142,650",63.22,"131,490"
Computer Support Specialists,"830,510",29.11,"60,550",27.84,"57,910"
Computer Network Support Specialists,"176,200",34.30,"71,350",30.17,"62,760"
Computer User Support Specialists,"654,310",27.72,"57,650",23.93,"49,770"
Database and Network Administrators and Architects,"621,900",49.25,"102,440",47.44,"98,680"
Computer Network Architects,"168,830",58.01,"120,650",57.94,"120,520"
Database Administrators,"85,870",46.42,"96,550",46.50,"96,710"
Database Architects,"50,440",58.58,"121,840",59.34,"123,430"
Network and Computer Systems Administrators,"316,760",43.87,"91,250",38.75,"80,600"
"Software and Web Developers, Programmers, and Testers","1,874,100",54.68,"113,720",49.49,"102,930"
Computer Programmers,"152,610",46.46,"96,650",44.71,"93,000"
Software Developers,"1,364,180",58.17,"120,990",58.05,"120,730"
Software Quality Assurance Analysts and Testers,"190,120",46.97,"97,710",47.22,"98,220"
Web Developers,"84,820",39.09,"81,320",37.03,"77,030"
Web and Digital Interface Designers,"82,380",45.90,"95,460",38.41,"79,890"
Miscellaneous Computer Occupations,"370,190",47.20,"98,180",45.80,"95,270"
"Computer Occupations, All Other","370,190",47.20,"98,180",45.80,"95,270"
Mathematical Science Occupations,"264,840",49.90,"103,800",47.44,"98,680"
Actuaries,"23,040",60.24,"125,300",50.91,"105,900"
Mathematicians,"1,770",54.05,"112,430",51.97,"108,100"
Operations Research Analysts,"98,700",46.07,"95,830",39.59,"82,360"
Statisticians,"31,370",47.81,"99,450",45.95,"95,570"
Data Scientists,"105,980",52.24,"108,660",48.52,"100,910"
Miscellaneous Mathematical Science Occupations,"3,970",37.48,"77,960",30.03,"62,460"
"Mathematical Science Occupations, All Other","3,970",37.48,"77,960",30.03,"62,460"
Architecture and Engineering Occupations,"2,436,520",44.10,"91,740",38.39,"79,840"
"Architects, Surveyors, and Cartographers","176,840",39.85,"82,880",37.34,"77,670"
"Architects, Except Naval","117,830",42.98,"89,400",38.16,"79,380"
"Architects, Except Landscape and Naval","100,400",44.19,"91,900",38.55,"80,180"
Landscape Architects,"17,430",36.05,"74,980",32.67,"67,950"
"Surveyors, Cartographers, and Photogrammetrists","59,000",33.59,"69,870",29.78,"61,950"
Cartographers and Photogrammetrists,"12,610",35.34,"73,510",33.12,"68,900"
Surveyors,"46,390",33.12,"68,880",29.62,"61,600"
Engineers,"1,631,080",50.00,"104,000",47.62,"99,040"
Aerospace Engineers,"56,640",59.12,"122,970",58.78,"122,270"
Agricultural Engineers,"1,120",41.99,"87,350",39.73,"82,640"
Bioengineers and Biomedical Engineers,"17,190",48.57,"101,020",46.83,"97,410"
Chemical Engineers,"24,180",58.58,"121,840",50.75,"105,550"
Civil Engineers,"304,310",45.91,"95,490",42.33,"88,050"
Computer Hardware Engineers,"73,750",65.50,"136,230",61.62,"128,170"
Electrical and Electronics Engineers,"293,190",53.21,"110,670",48.93,"101,780"
Electrical Engineers,"186,020",51.87,"107,890",48.28,"100,420"
"Electronics Engineers, Except Computer","107,170",55.53,"115,490",50.39,"104,820"
Environmental Engineers,"42,660",48.18,"100,220",46.55,"96,820"
"Industrial Engineers, Including Health and Safety","316,820",45.92,"95,520",45.82,"95,300"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","22,870",47.93,"99,700",47.62,"99,040"
Industrial Engineers,"293,950",45.77,"95,200",45.82,"95,300"
Marine Engineers and Naval Architects,"7,380",47.03,"97,820",44.89,"93,370"
Materials Engineers,"21,530",49.02,"101,950",47.26,"98,300"
Mechanical Engineers,"278,240",46.64,"97,000",45.82,"95,300"
"Mining and Geological Engineers, Including Mining Safety Engineers","7,370",48.29,"100,450",46.68,"97,090"
Nuclear Engineers,"12,670",58.54,"121,760",57.87,"120,380"
Petroleum Engineers,"22,100",70.06,"145,720",62.91,"130,850"
Miscellaneous Engineers,"151,940",51.83,"107,800",48.38,"100,640"
"Engineers, All Other","151,940",51.83,"107,800",48.38,"100,640"
"Drafters, Engineering Technicians, and Mapping Technicians","628,600",30.01,"62,420",28.99,"60,290"
Drafters,"185,200",29.66,"61,680",28.99,"60,290"
Architectural and Civil Drafters,"101,310",29.14,"60,620",29.01,"60,340"
Electrical and Electronics Drafters,"20,830",32.26,"67,090",29.57,"61,510"
Mechanical Drafters,"47,760",30.12,"62,650",28.94,"60,200"
"Drafters, All Other","15,300",28.04,"58,330",26.08,"54,240"
"Engineering Technologists and Technicians, Except Drafters","387,330",31.06,"64,600",29.18,"60,690"
Aerospace Engineering and Operations Technologists and Technicians,"10,900",35.34,"73,510",35.37,"73,580"
Civil Engineering Technologists and Technicians,"64,170",27.89,"58,000",28.04,"58,320"
Electrical and Electronic Engineering Technologists and Technicians,"101,450",33.21,"69,070",30.60,"63,640"
Electro-Mechanical and Mechatronics Technologists and Technicians,"11,590",30.71,"63,880",29.02,"60,360"
Environmental Engineering Technologists and Technicians,"14,910",27.21,"56,590",23.27,"48,390"
Industrial Engineering Technologists and Technicians,"62,030",29.44,"61,230",28.95,"60,220"
Mechanical Engineering Technologists and Technicians,"40,180",30.47,"63,390",29.07,"60,460"
Calibration Technologists and Technicians,"8,500",30.19,"62,800",29.01,"60,340"
"Engineering Technologists and Technicians, Except Drafters, All Other","73,600",32.83,"68,290",29.78,"61,950"
Surveying and Mapping Technicians,"56,070",23.95,"49,810",22.55,"46,910"
"Life, Physical, and Social Science Occupations","1,273,640",38.81,"80,730",34.97,"72,740"
Life Scientists,"304,980",44.80,"93,190",38.53,"80,140"
Agricultural and Food Scientists,"31,920",38.45,"79,970",35.66,"74,160"
Animal Scientists,"2,790",38.65,"80,390",31.29,"65,090"
Food Scientists and Technologists,"13,510",40.46,"84,150",37.66,"78,340"
Soil and Plant Scientists,"15,610",36.68,"76,290",32.09,"66,750"
Biological Scientists,"117,460",45.18,"93,970",39.75,"82,680"
Biochemists and Biophysicists,"35,050",54.55,"113,460",49.17,"102,270"
Microbiologists,"19,430",42.22,"87,820",38.11,"79,260"
Zoologists and Wildlife Biologists,"15,930",33.80,"70,300",31.08,"64,650"
"Biological Scientists, All Other","47,050",43.27,"90,010",39.68,"82,530"
Conservation Scientists and Foresters,"32,040",32.73,"68,080",30.65,"63,750"
Conservation Scientists,"22,550",32.81,"68,230",30.65,"63,750"
Foresters,"9,500",32.56,"67,710",30.82,"64,110"
Medical Scientists,"116,740",49.44,"102,830",43.58,"90,640"
Epidemiologists,"8,180",41.70,"86,740",37.90,"78,830"
"Medical Scientists, Except Epidemiologists","108,550",50.02,"104,050",45.82,"95,310"
Miscellaneous Life Scientists,"6,820",45.40,"94,430",39.18,"81,500"
"Life Scientists, All Other","6,820",45.40,"94,430",39.18,"81,500"
Physical Scientists,"244,340",46.32,"96,340",39.47,"82,090"
Astronomers and Physicists,"21,950",72.36,"150,510",70.89,"147,450"
Astronomers,"1,930",67.02,"139,410",61.62,"128,160"
Physicists,"20,020",72.88,"151,580",73.29,"152,430"
Atmospheric and Space Scientists,"8,520",46.58,"96,880",45.47,"94,570"
Chemists and Materials Scientists,"87,290",43.43,"90,330",38.34,"79,760"
Chemists,"80,600",42.85,"89,130",38.19,"79,430"
Materials Scientists,"6,690",50.38,"104,790",48.12,"100,090"
Environmental Scientists and Geoscientists,"106,910",41.82,"86,980",37.66,"78,340"
"Environmental Scientists and Specialists, Including Health","76,890",39.06,"81,240",36.79,"76,530"
"Geoscientists, Except Hydrologists and Geographers","23,620",49.78,"103,550",40.23,"83,680"
Hydrologists,"6,390",45.57,"94,780",40.40,"84,030"
Miscellaneous Physical Scientists,"19,680",54.43,"113,220",50.05,"104,100"
"Physical Scientists, All Other","19,680",54.43,"113,220",50.05,"104,100"
Social Scientists and Related Workers,"246,680",43.66,"90,810",38.89,"80,890"
Economists,"15,640",58.09,"120,830",50.79,"105,630"
Survey Researchers,"8,850",31.10,"64,690",28.72,"59,740"
Psychologists,"129,620",44.28,"92,100",38.96,"81,040"
Industrial-Organizational Psychologists,610,54.48,"113,320",50.63,"105,310"
Clinical and Counseling Psychologists,"58,100",47.90,"99,640",39.67,"82,510"
School Psychologists,"57,110",39.80,"82,770",37.88,"78,780"
"Psychologists, All Other","13,800",47.12,"98,010",49.47,"102,900"
Sociologists,"2,640",46.28,"96,260",44.67,"92,910"
Urban and Regional Planners,"38,940",39.09,"81,310",37.74,"78,500"
Miscellaneous Social Scientists and Related Workers,"50,990",43.19,"89,840",39.61,"82,390"
Anthropologists and Archeologists,"6,650",32.12,"66,800",29.76,"61,910"
Geographers,"1,440",41.70,"86,740",40.97,"85,220"
Historians,"2,910",34.68,"72,130",30.74,"63,940"
Political Scientists,"5,650",57.90,"120,430",58.90,"122,510"
"Social Scientists and Related Workers, All Other","34,330",43.70,"90,900",40.59,"84,430"
"Life, Physical, and Social Science Technicians","349,540",25.91,"53,890",23.25,"48,370"
Agricultural and Food Science Technicians,"25,090",22.23,"46,240",21.49,"44,700"
Agricultural Technicians,"13,560",21.56,"44,850",19.44,"40,430"
Food Science Technicians,"11,530",23.01,"47,870",22.40,"46,590"
Biological Technicians,"76,150",24.89,"51,770",23.15,"48,140"
Chemical Technicians,"57,690",26.46,"55,040",23.56,"48,990"
Environmental Science and Geoscience Technicians,"46,860",25.88,"53,830",23.01,"47,850"
"Environmental Science and Protection Technicians, Including Health","34,110",24.30,"50,550",22.78,"47,370"
"Geological Technicians, Except Hydrologic Technicians","9,210",28.40,"59,080",23.23,"48,310"
Hydrologic Technicians,"3,550",34.50,"71,760",29.94,"62,280"
Nuclear Technicians,"5,360",45.77,"95,200",47.76,"99,340"
Social Science Research Assistants,"28,690",27.13,"56,430",23.90,"49,720"
Forest and Conservation Technicians,"30,440",20.87,"43,420",18.89,"39,290"
"Miscellaneous Life, Physical, and Social Science Technicians","79,250",27.83,"57,880",24.21,"50,370"
Forensic Science Technicians,"17,020",32.14,"66,850",29.78,"61,930"
"Life, Physical, and Social Science Technicians, All Other","62,230",26.65,"55,420",23.57,"49,030"
Occupational Health and Safety Specialists and Technicians,"128,090",36.13,"75,150",36.00,"74,870"
Occupational Health and Safety Specialists,"106,340",37.86,"78,740",37.29,"77,560"
Occupational Health and Safety Technicians,"21,750",27.67,"57,560",24.58,"51,120"
Community and Social Service Occupations,"2,239,680",25.94,"53,960",23.28,"48,410"
"Counselors, Social Workers, and Other Community and Social Service Specialists","2,157,410",25.94,"53,950",23.27,"48,400"
Counselors,"781,830",27.12,"56,410",23.73,"49,360"
"Educational, Guidance, and Career Counselors and Advisors","296,370",30.33,"63,090",29.09,"60,510"
Marriage and Family Therapists,"54,800",28.69,"59,660",23.98,"49,880"
Rehabilitation Counselors,"90,310",21.51,"44,740",18.54,"38,560"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","310,880",25.72,"53,490",23.33,"48,520"
"Counselors, All Other","29,480",23.91,"49,730",21.71,"45,160"
Social Workers,"677,440",27.83,"57,880",24.23,"50,390"
"Child, Family, and School Social Workers","340,050",26.39,"54,880",23.63,"49,150"
Healthcare Social Workers,"173,860",29.96,"62,310",29.25,"60,840"
Mental Health and Substance Abuse Social Workers,"113,810",27.79,"57,800",23.62,"49,130"
"Social Workers, All Other","49,730",30.29,"63,010",29.42,"61,190"
Miscellaneous Community and Social Service Specialists,"698,130",22.78,"47,380",20.43,"42,490"
Health Education Specialists,"55,830",31.22,"64,930",29.13,"60,600"
Probation Officers and Correctional Treatment Specialists,"92,140",30.43,"63,290",28.97,"60,250"
Social and Human Service Assistants,"398,380",19.45,"40,460",18.08,"37,610"
Community Health Workers,"61,010",22.97,"47,780",22.40,"46,590"
"Community and Social Service Specialists, All Other","90,770",24.28,"50,510",22.78,"47,390"
Religious Workers,"82,280",26.13,"54,340",23.35,"48,560"
Clergy,"50,790",27.51,"57,230",23.90,"49,720"
"Directors, Religious Activities and Education","21,000",25.42,"52,880",22.59,"46,980"
Miscellaneous Religious Workers,"10,490",20.81,"43,290",18.03,"37,500"
"Religious Workers, All Other","10,490",20.81,"43,290",18.03,"37,500"
Legal Occupations,"1,178,140",54.38,"113,100",39.63,"82,430"
"Lawyers, Judges, and Related Workers","744,760",69.46,"144,470",61.32,"127,540"
Lawyers and Judicial Law Clerks,"695,810",70.30,"146,220",61.39,"127,690"
Lawyers,"681,010",71.17,"148,030",61.54,"127,990"
Judicial Law Clerks,"14,800",30.16,"62,730",24.40,"50,750"
"Judges, Magistrates, and Other Judicial Workers","48,950",57.54,"119,690",53.15,"110,550"
"Administrative Law Judges, Adjudicators, and Hearing Officers","13,840",50.08,"104,160",49.30,"102,550"
"Arbitrators, Mediators, and Conciliators","7,320",29.98,"62,350",23.76,"49,410"
"Judges, Magistrate Judges, and Magistrates","27,790",68.52,"142,520",71.17,"148,030"
Legal Support Workers,"433,380",28.46,"59,190",26.38,"54,860"
Paralegals and Legal Assistants,"336,250",28.04,"58,330",27.03,"56,230"
Miscellaneous Legal Support Workers,"97,130",29.89,"62,170",24.78,"51,550"
"Title Examiners, Abstractors, and Searchers","51,040",25.19,"52,390",22.74,"47,310"
"Legal Support Workers, All Other","46,090",35.10,"73,000",28.75,"59,790"
Educational Instruction and Library Occupations,"8,191,930",29.88,"62,140",27.51,"57,220"
Postsecondary Teachers,"1,340,560",*,"95,200",*,"78,300"
"Business Teachers, Postsecondary","79,640",*,"105,720",*,"94,360"
"Math and Computer Science Teachers, Postsecondary","81,740",*,"88,730",*,"77,630"
"Computer Science Teachers, Postsecondary","37,600",*,"89,610",*,"77,910"
"Mathematical Science Teachers, Postsecondary","44,140",*,"87,980",*,"77,580"
"Engineering and Architecture Teachers, Postsecondary","41,380",*,"113,150",*,"103,340"
"Architecture Teachers, Postsecondary","5,950",*,"98,600",*,"95,160"
"Engineering Teachers, Postsecondary","35,440",*,"115,590",*,"104,940"
"Life Sciences Teachers, Postsecondary","57,440",*,"98,430",*,"81,980"
"Agricultural Sciences Teachers, Postsecondary","8,570",*,"97,520",*,"95,910"
"Biological Science Teachers, Postsecondary","47,690",*,"98,710",*,"81,440"
"Forestry and Conservation Science Teachers, Postsecondary","1,180",*,"93,510",*,"82,330"
"Physical Sciences Teachers, Postsecondary","48,420",*,"97,110",*,"81,980"
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","10,250",*,"102,840",*,"98,070"
"Chemistry Teachers, Postsecondary","20,260",*,"94,060",*,"79,410"
"Environmental Science Teachers, Postsecondary","5,440",*,"92,210",*,"81,980"
"Physics Teachers, Postsecondary","12,460",*,"99,480",*,"93,070"
"Social Sciences Teachers, Postsecondary","108,100",*,"94,340",*,"79,770"
"Anthropology and Archeology Teachers, Postsecondary","5,010",*,"102,110",*,"97,340"
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","9,040",*,"91,680",*,"78,910"
"Economics Teachers, Postsecondary","11,790",*,"124,090",*,"104,940"
"Geography Teachers, Postsecondary","3,440",*,"88,150",*,"81,440"
"Political Science Teachers, Postsecondary","14,060",*,"98,980",*,"81,980"
"Psychology Teachers, Postsecondary","36,060",*,"88,390",*,"77,860"
"Sociology Teachers, Postsecondary","12,550",*,"87,850",*,"77,980"
"Social Sciences Teachers, Postsecondary, All Other","16,140",*,"87,320",*,"77,500"
"Health Teachers, Postsecondary","259,890",*,"119,880",*,"98,070"
"Health Specialties Teachers, Postsecondary","191,830",*,"133,310",*,"102,720"
"Nursing Instructors and Teachers, Postsecondary","68,060",*,"82,040",*,"77,440"
"Education and Library Science Teachers, Postsecondary","63,100",*,"77,260",*,"64,540"
"Education Teachers, Postsecondary","58,780",*,"76,990",*,"63,910"
"Library Science Teachers, Postsecondary","4,330",*,"80,850",*,"77,100"
"Law, Criminal Justice, and Social Work Teachers, Postsecondary","40,170",*,"97,720",*,"78,330"
"Criminal Justice and Law Enforcement Teachers, Postsecondary","13,790",*,"81,730",*,"64,600"
"Law Teachers, Postsecondary","14,110",*,"130,820",*,"123,470"
"Social Work Teachers, Postsecondary","12,280",*,"77,650",*,"71,010"
"Arts, Communications, History, and Humanities Teachers, Postsecondary","239,610",*,"85,110",*,"76,840"
"Art, Drama, and Music Teachers, Postsecondary","94,720",*,"86,240",*,"75,940"
"Communications Teachers, Postsecondary","27,330",*,"84,580",*,"77,560"
"English Language and Literature Teachers, Postsecondary","58,480",*,"82,680",*,"75,930"
"Foreign Language and Literature Teachers, Postsecondary","19,640",*,"82,990",*,"77,030"
"History Teachers, Postsecondary","18,590",*,"86,460",*,"78,130"
"Philosophy and Religion Teachers, Postsecondary","20,850",*,"88,260",*,"77,610"
Miscellaneous Postsecondary Teachers,"321,050",*,"82,100",*,"64,640"
"Family and Consumer Sciences Teachers, Postsecondary","2,730",*,"93,230",*,"79,630"
"Recreation and Fitness Studies Teachers, Postsecondary","13,860",*,"79,080",*,"72,440"
"Career/Technical Education Teachers, Postsecondary","105,440",30.35,"63,130",28.77,"59,840"
"Postsecondary Teachers, All Other","199,020",*,"92,200",*,"78,160"
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","4,021,070",*,"64,870",*,"61,030"
Preschool and Kindergarten Teachers,"512,400",20.70,"43,060",17.65,"36,710"
"Preschool Teachers, Except Special Education","391,670",17.53,"36,460",14.52,"30,210"
"Kindergarten Teachers, Except Special Education","120,730",*,"64,490",*,"60,900"
Elementary and Middle School Teachers,"1,933,120",*,"67,030",*,"61,390"
"Elementary School Teachers, Except Special Education","1,329,280",*,"67,080",*,"61,400"
"Middle School Teachers, Except Special and Career/Technical Education","592,000",*,"66,880",*,"61,320"
"Career/Technical Education Teachers, Middle School","11,840",*,"69,410",*,"61,820"
Secondary School Teachers,"1,104,600",*,"69,490",*,"61,820"
"Secondary School Teachers, Except Special and Career/Technical Education","1,020,240",*,"69,530",*,"61,820"
"Career/Technical Education Teachers, Secondary School","84,360",*,"68,960",*,"61,820"
Special Education Teachers,"470,960",*,"68,880",*,"61,820"
"Special Education Teachers, Preschool","21,130",*,"71,970",*,"62,420"
"Special Education Teachers, Kindergarten and Elementary School","187,070",*,"67,090",*,"61,640"
"Special Education Teachers, Middle School","79,070",*,"68,860",*,"61,820"
"Special Education Teachers, Secondary School","145,690",*,"70,100",*,"62,120"
"Special Education Teachers, All Other","38,000",*,"71,330",*,"61,720"
Other Teachers and Instructors,"941,530",22.35,"46,490",17.94,"37,310"
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","38,260",29.16,"60,650",28.71,"59,720"
Self-Enrichment Teachers,"216,910",23.67,"49,230",20.95,"43,580"
"Substitute Teachers, Short-Term","374,620",18.47,"38,410",14.47,"30,100"
Tutors,"147,100",20.09,"41,780",17.53,"36,470"
Miscellaneous Teachers and Instructors,"164,650",*,"62,200",*,"50,540"
"Teachers and Instructors, All Other","164,650",*,"62,200",*,"50,540"
"Librarians, Curators, and Archivists","228,900",26.69,"55,520",23.59,"49,060"
"Archivists, Curators, and Museum Technicians","28,110",28.28,"58,830",24.09,"50,120"
Archivists,"6,120",29.75,"61,880",28.87,"60,050"
Curators,"11,030",30.71,"63,880",28.90,"60,110"
Museum Technicians and Conservators,"10,960",25.02,"52,030",22.90,"47,630"
Librarians and Media Collections Specialists,"127,790",30.86,"64,180",29.42,"61,190"
Library Technicians,"73,000",18.79,"39,070",17.78,"36,970"
Other Educational Instruction and Library Occupations,"1,659,870",*,"38,620",*,"30,460"
Farm and Home Management Educators,"10,620",27.90,"58,040",24.03,"49,990"
Instructional Coordinators,"184,740",33.92,"70,560",30.64,"63,740"
Teaching Assistants,"1,308,560",*,"32,640",*,"29,550"
"Teaching Assistants, Postsecondary","121,290",*,"41,170",*,"38,040"
"Teaching Assistants, Except Postsecondary","1,187,270",*,"31,760",*,"29,360"
Miscellaneous Educational Instruction and Library Workers,"155,950",23.87,"49,650",22.26,"46,300"
"Educational Instruction and Library Workers, All Other","155,950",23.87,"49,650",22.26,"46,300"
"Arts, Design, Entertainment, Sports, and Media Occupations","1,815,290",31.78,"66,100",24.61,"51,190"
Art and Design Workers,"609,150",28.32,"58,910",23.18,"48,220"
Artists and Related Workers,"83,070",45.83,"95,330",38.94,"80,990"
Art Directors,"42,080",55.50,"115,430",48.51,"100,890"
Craft Artists,"3,740",19.58,"40,730",17.27,"35,930"
"Fine Artists, Including Painters, Sculptors, and Illustrators","9,430",33.18,"69,010",29.24,"60,820"
Special Effects Artists and Animators,"20,430",41.45,"86,220",37.88,"78,790"
"Artists and Related Workers, All Other","7,390",32.33,"67,240",29.61,"61,580"
Designers,"526,080",25.56,"53,160",22.29,"46,370"
Commercial and Industrial Designers,"27,940",38.31,"79,680",37.03,"77,030"
